category_name,subcategory_name,url
Contract Rates and Digests,,https://www.sagaftra.org/industry-resources/rates-agreements
Commercials,,https://www.sagaftra.org/production-center/contract/802/getting-started
Corporate / Educational,,https://www.sagaftra.org/production-center/contract/803/getting-started
Dubbing,,https://www.sagaftra.org/production-center/contract/895/getting-started
Interactive,,https://www.sagaftra.org/production-center/contract/820/getting-started
Music Videos,,https://www.sagaftra.org/production-center/contract/804/getting-started
New Media Contracts,,https://www.sagaftra.org/production-center/contract/884/getting-started
Sound Recordings,,https://www.sagaftra.org/production-center/contract/806/getting-started
Television Contracts,,https://www.sagaftra.org/production-center/contract/807/getting-started
Theatrical Contracts,,https://www.sagaftra.org/production-center/contract/813/getting-started
Television Contracts,Basic Cable Animation,https://www.sagaftra.org/production-center/contract/808/getting-started
Television Contracts,Basic Cable Live Action,https://www.sagaftra.org/production-center/contract/809/getting-started
Television Contracts,Television,https://www.sagaftra.org/production-center/contract/810/getting-started
Television Contracts,Television Animation,https://www.sagaftra.org/production-center/contract/811/getting-started
Television Contracts,Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started
Theatrical Contracts,Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started
Theatrical Contracts,Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started
Theatrical Contracts,Moderate Low Budget Project (MPA),https://www.sagaftra.org/production-center/contract/815/getting-started
Theatrical Contracts,Ultra Low Budget Project (UPA),https://www.sagaftra.org/production-center/contract/819/getting-started
Theatrical Contracts,Short Project (SPA),https://www.sagaftra.org/production-center/contract/886/getting-started
Theatrical Contracts,Student Film,https://www.sagaftra.org/production-center/contract/817/getting-started
Theatrical Contracts,Micro-Budget Projects,https://www.sagaftra.org/production-center/contract/968/getting-started
New Media Contracts,New Media (Deferrable),https://www.sagaftra.org/production-center/contract/805/getting-started
New Media Contracts,Special New Media,https://www.sagaftra.org/production-center/contract/908/getting-started
New Media Contracts,Moderate Low Budget Project,https://www.sagaftra.org/production-center/contract/909/getting-started
New Media Contracts,Ultra Low Budget Project,https://www.sagaftra.org/production-center/contract/910/getting-started
New Media Contracts,Short Project (SPA),https://www.sagaftra.org/production-center/contract/885/getting-started
New Media Contracts,Micro-Budget Projects,https://www.sagaftra.org/production-center/contract/967/getting-started
